n,Frecuencia [Hz],Frecuencia adim,Ganancia [adim] ,Fase [rad]
73,1.9,0.4808493479269963,0.6056822756215114,-2.2707596946401924
74,2.1,0.531465068761417,0.7252555670797232,2.0827291171722058
75,2.2,0.5567729291786274,0.8718147007613655,2.059941109144576
76,2.3,0.5820807895958375,1.0607169207560756,2.026716058414265
77,2.4,0.607388650013048,1.3027873128248808,2.0007527439147172
78,50.0,12.653930208605166,0.5710776302301587,-1.4731132864208951
79,2.5,0.6326965104302583,1.573942548026868,1.9865395688492815
80,2.6,0.6580043708474687,1.810528904678574,1.9228063793579901
81,2.7,0.683312231264679,2.1245563498290814,1.8120766602593361
82,2.8,0.7086200916818893,2.4554721093322947,1.671289674901887
83,2.9,0.7339279520990997,2.7277357222829544,1.495830063095924
84,3.1,0.7845436729335203,3.0733392055931166,-1.1247346205268676
85,3.2,0.8098515333507307,3.114252550607496,0.9429028236248045
86,3.3,0.835159393767941,3.071817987901912,0.7697068332116015
87,3.4,0.8604672541851514,2.977512690384693,0.6046960779718059
88,3.5,0.8857751146023616,2.8340609238485888,0.4600745685311796
89,60.0,15.184716250326199,0.6310960825744012,1.9707932990442503
90,3.6,0.9110829750195719,2.666318404834993,0.3305568458403076
91,3.7,0.9363908354367823,2.4695312310639195,0.21720926713892227
92,3.8,0.9616986958539926,2.3338287540351788,0.14989525640938445
93,3.9,0.9870065562712029,2.1947830686265046,0.08780481326990823
94,4.2,1.062930137522834,1.8406391786198462,0.0601047108167215
95,4.4,1.1135458583572548,1.626516060097811,-0.12030327030431479
96,4.6,1.164161579191675,1.4711441300825991,-0.16852656032092364
97,4.8,1.214777300026096,1.3670805438773268,-0.1731862044711791
98,5.2,1.3160087416949373,1.2421706479377685,0.17412708136857172
99,5.4,1.366624462529358,1.1957917477024678,-0.17955255388726638
100,75.0,18.980895312907748,0.776817991814744,-0.21087131006562773
